artists,genres
"""Cats"" 1981 Original London Cast",['show tunes']
"""Cats"" 1983 Broadway Cast",[]
"""Fiddler On The Roofï¿½ï¿½ï¿½ Motion Picture ",[]
"""Fiddler On The Roofï¿½ï¿½ï¿½ Motion Picture Orc",[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",[]
"""Mama"" Helen Teagarden",[]
"""Test for Victor Young""",[]
"""Weird Al"" Yankovic","['comedy rock', 'comic', 'parody']"
$NOT,"['emo rap', 'florida rap', 'sad rap', 'underground hip hop', 'vapor trap']"
$atori Zoom,"['dark trap', 'meme rap']"
$pyda,[]
$tupid Young,"['asian american hip hop', 'cali rap', 'west coast trap']"
$uicideBoy$,"['dark trap', 'new orleans rap', 'underground hip hop']"
'In The Heights' Original Broadway Company,"['broadway', 'show tunes']"
'Legally Blonde' Ensemble,"['broadway', 'hollywood', 'show tunes']"
'Legally Blonde' Greek Chorus,['show tunes']
'Til Tuesday,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']"
((( O ))),"['experimental hip hop', 'indie r&b', 'indie soul']"
(Con La Participaciï¿½ï¿½n de Marc Anth,[]
(G)I-DLE,"['k-pop', 'k-pop girl group']"
(Hed) P.E.,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock']"
*NSYNC,"['boy band', 'dance pop', 'europop', 'pop']"
44,[]
...And You Will Know Us by the Trail of Dead,"['alternative rock', 'dance-punk', 'double drumming', 'indie rock', 'modern rock', 'post-hardcore']"
...Bender,[]
03 Greedo,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
070 Shake,"['alternative r&b', 'new jersey rap']"
10 Ft. Ganja Plant,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
10 Years,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
"10,000 Maniacs","['alternative rock', 'dance rock', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock']"
100 gecs,"['glitchcore', 'hyperpop']"
